,tweet_author,tweet_text
191,calquence   acalabrutinib ,https   t co w  aqqbux  in a study of     chronic lymphocytic leukemia  cll  patients   l calquence obinutuzumab demonstrated     relative risk reduction  hr          ci              p lt        in disease progression or death vs gcib  obinutuzumab chlorambucil  
192,calquence   acalabrutinib ,https   t co w  aqqbux  in a study of     chronic lymphocytic leukemia  cll  patients   l calquence obinutuzumab demonstrated     relative risk reduction  hr          ci              p lt        in disease progression or death vs gcib  obinutuzumab chlorambucil  
193,calquence   acalabrutinib ,https   t co w  aqpuk a in a study of     chronic lymphocytic leukemia  cll  patients   l calquence obinutuzumab demonstrated     relative risk reduction  hr          ci              p lt        in disease progression or death vs gcib  obinutuzumab chlorambucil  
194,calquence   acalabrutinib ,https   t co w  aqqbux  calquence is an oral treatment option for adult patients with chronic lymphocytic leukemia  cll  
195,calquence   acalabrutinib ,https   t co w  aqqbux  in a study of     chronic lymphocytic leukemia  cll  patients   l calquence obinutuzumab demonstrated     relative risk reduction  hr          ci              p lt        in disease progression or death vs gcib  obinutuzumab chlorambucil  
196,calquence   acalabrutinib ,https   t co w  aqpuk a see if calquence can be used to treat your adult patients with chronic lymphocytic leukemia  cll  or small lymphocytic lymphoma  sll  
197,calquence   acalabrutinib ,https   t co w  aqpuk a see if calquence can be used to treat your adult patients with chronic lymphocytic leukemia  cll  or small lymphocytic lymphoma  sll  
198,calquence   acalabrutinib ,https   t co w  aqqbux  in a study of     chronic lymphocytic leukemia  cll  patients   l calquence obinutuzumab demonstrated     relative risk reduction  hr          ci              p lt        in disease progression or death vs gcib  obinutuzumab chlorambucil  
199,calquence   acalabrutinib ,https   t co w  aqpuk a calquence is an oral treatment option for adult patients with chronic lymphocytic leukemia  cll  
200,joseph cioccio  do,why might a person with cll be anemic     bm involved  rai iii   dx   bm bx tx   venetoclax obinutuzumab or acalabrutinib     obinu fcr      aiha  dx  dat     t bili    ldh    hapto     retic tx roids if fail then as above     prca     retics   tx   ist   cioc edu   
201,curehuntr, clinicaltrial rituximab  acalabrutinib  and durvalumab  rad  in primary cns lymphoma  https   t co l wzhd npv
202,vjhemonc, zanubrutinib for ibrutinib acalabrutinib intolerant r r b cell malignancies w  ian flinn of  sarahcannondocs  https   t co jvphvqolus   ash    ash hematology  hemonc  leusm  leukemia  cllsm  ctsm
203,trialbulletin,rituximab  acalabrutinib  and durvalumab  rad  in primary cns lymphoma   status  not yet recruiting   condition summary  primary central nervous system lymphoma  pcnsl  https   t co sfbdbbit n
204,onclive soss,  seemaalibhat  of  osuccc james discusses the rationale to evaluate  acalabrutinib in chronic lymphocytic leukemia  cll https   t co rtgycoo dq https   t co ltnbss  zi
205,targeted oncology, the pfs for patients in the acalabrutinib arms  of the elevate cll tn trial  outperformed the control  which was obinutuzumab chlorambucil  by a significant difference   dr  seymour  of  karmanoscancer  said in this live virtual meeting  https   t co ozz ovjcle  cll  leusm
206,medivizor,new  comparing acalabrutinib to standard treatments in patients with chronic lymphocy    https   t co tlxiunst a via  medivizor  leukemia
207,drugdocs, calquence product monograph  prescribing info  health technology assessments and more    access drug documents  
208,oncology nursing news,in case you missed it  patients with cll who received treatment with single agent acalabrutinib experienced a low incidence of cardiac toxicities  according to data from a pooled analysis across   clinical trials  https   t co cx xgouih 
209,ematoinfo, ash     nuove importanti conferme sull utilizzo di  acalabrutinib in combinazione nel trattamento della leucemia linfatica cronica  con risultati significativi in termini di risposta completa e mrd negativit   le parole di francesca romana mauro  https   t co srgfxxx ts
210,oncology nursing news,patients with cll who received treatment with single agent acalabrutinib experienced a low incidence of cardiac toxicities  according to data from a pooled analysis across   clinical trials  https   t co cx xgouih 
211,medivizor,check out comparing acalabrutinib to standard treatments in patients with chronic lym    https   t co tlxiunst a via  medivizor  leukemia
212,onclive com,results showed that     of     patients with cll who received treatment with the  nd generation btk inhibitor as a monotherapy experienced cardiac toxicity of any grade at a median follow up of      months   ash hematology  ash   https   t co pyx ezazc 
213,pharmanewsintel,astrazeneca s phase    clinicaltrial found that multiple cell lymphoma patients treated with astrazeneca s  cancerdrug  calquence  remained progression free for an average of    months    https   t co c xxpxjt n
214,jpubb              ,                 calquence                                                           https   t co isvqylmtwe
215,pr times    ,                 calquence                                     https   t co uaxtcybcan
216,pr times    ,                 calquence                                     https   t co  bz nyuwon
217,wmr tokyo          ,                 calquence r                                               https   t co rwagdqt  p
218,ashleigh walls,consider calquence for any adult you may know living with chronic lymphocytic leukemia  cll  or small lymphocytic lymphoma  sll   it s a prescription oral  x a day capsule  learn more  https   t co bufoyox iy  bloodcancerawareness  ad https   t co tjcmlppbwn https   t co xsjy  zzgo
219,bargainbriana,taking cll medication should be as convenient as an oral  twice a day capsule  if you or someone you love has cll  you may have options with prescription calquence for adult patients with cll  https   t co olblat iul  bloodcancerawareness  ad https   t co in kmidsin https   t co   brod   j
220,april golightly,consider calquence for any adult you may know living with chronic lymphocytic leukemia  cll  or small lymphocytic lymphoma  sll   it s a prescription oral  x a day capsule  learn more  https   t co uzjsifxtb   bloodcancerawareness  ad https   t co    omf  rh https   t co m fmvhot h
221,dough, azn lr op multiple best in class oncology portfolio deserves premium oncology portfolio includes multiple potentially best in class assets  including tagrisso  lynparza  calquence  enhertu  and imfinzi https   t co kfigbg jvi
222,jorge,cancer drug as covid    treatment scrapped from who solidarity trials https   t co iso vje js
223,isanidad, investigaci n     los datos de  acalabrutinib de   ensayos cl nicos refuerzan su perfil de seguridad cardiovascular en pacientes con  leucemia linfoc tica cr nica  astrazenecaes   https   t co c  komibjt
224,isanidad,  los datos de  acalabrutinib de   ensayos cl nicos refuerzan su perfil de seguridad cardiovascular en pacientes con  leucemia linfoc tica cr nica  astrazenecaes   https   t co c  komibjt
225,onclive com,patients with cll who received treatment with single agent acalabrutinib experienced a low incidence of cardiac toxicities leading to treatment discontinuation   ash hematology  ash   https   t co  bpqyna km
226,trip database,new trip  acalabrutinib  calquence    chronic lymphocytic leukaemia  cll  https   t co u lryivdfk
227,radyo la verdad     ,kinumpirma ng department of health na hindi na gagamitin sa world health organization solidarity trial ng therapeutics o mga gamot ang acalabrutinib  https   t co fwv nc tzt
228,cure magazine,at a median follow up of      months      of the patient population who received calquence monotherapy experienced a cardiac toxicity of any severity  which led to treatment discontinuation in only seven patients  https   t co w nlttqfjf
229,radyo la verdad     ,acalabrutinib  hindi na gagamitin sa who solidarity trial ng therapeutic    https   t co fwv nc tzt via  youtube
230,ronald m  chavin,            in a decision announced today by the who  bad news for astrazeneca s blood cancer drug  calquence  acalabrutinib   for treating covid     astrazeneca had already announced the failure of calquence https   t co  jwlijshtd https   t co aspnyotalf https   t co hfq fonqgc
231,untv news and rescue,acalabrutinib  hindi na gagamitin sa who solidarity trial ng therapeutics   doh  https   t co rwkcivpg p
232,dzbb super radyo,  pasyente  nakumpleto na ang clinical trial ng avigan bilang gamot sa covid    sa pilipinas  clinical trial ng cancer drug na acalabrutinib sa paghanap ng gamot kontra covid     hindi na itinuloy ng  who   superbalitasahapon https   t co jl zdrja g
233,radyo agila dzec      khz,cancer drug na acalabrutinib inalis na sa mga gamot na kasama sa who solidarity trial https   t co pxanq ooia
234,cnn philippines, nagbigay na ng recommendation ang who  it s not going to be part of the solidarity trial anymore   doh spokesperson maria rosario vergeire says  https   t co bogahkfymh
235,dzbb super radyo,paggamit ng cancer drug na acalabrutinib bilang bahagi ng solidarity trial sa paghanap ng gamot para sa covid     hindi na itinuloy ng world health organization o  who    via  isa umali
236,medivizor,new  comparing acalabrutinib to standard treatments in patients with chronic lymphocy    https   t co tlxiunst a via  medivizor  leukemia
237,this messy season family blog,consider calquence for any adult you may know living with chronic lymphocytic leukemia  cll  or small lymphocytic lymphoma  sll   it s a prescription oral  x a day capsule  learn more  https   t co vriquhrkff   bloodcancerawareness  ad https   t co y lmrkor k https   t co ktadjk puw
238,        ,                             mantlecell lymphoma                    calquence                                             btk                    https   t co b  z puj x
239,cook eat go, ad consider calquence for any adult you may know living with chronic lymphocytic leukemia  cll  or small lymphocytic lymphoma  sll   it s a prescription oral  x a day capsule  learn more  https   t co pkc  tf kq   bloodcancerawareness https   t co  v  qkmds  https   t co p jizk jo 
